127.0.0.1 - - [20/Sep/2018:11:11:21 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:11:59 +0530] "GET /frontendp/home HTTP/1.1" 200 6118
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:11:59 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:11:59 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:11:59 +0530] "GET /frontendp/resources/images/carousel9.jpg HTTP/1.1" 200 1715058
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:00 +0530] "GET /frontendp/resources/images/carousel8.jpg HTTP/1.1" 200 2640922
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:00 +0530] "GET /frontendp/resources/images/carousel10.jpg HTTP/1.1" 200 3499174
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:00 +0530] "GET /frontendp/resources/images/carousel7.jpg HTTP/1.1" 200 6183101
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:19 +0530] "GET /frontendp/all/registrationform HTTP/1.1" 200 8136
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:19 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:19 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:19 +0530] "GET /frontendp/resources/css/registration.css HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:21 +0530] "GET /frontendp/login HTTP/1.1" 200 3743
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:22 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:22 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:22 +0530] "GET /frontendp/resources/images/loginbackground.jpg HTTP/1.1" 200 153377
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:12:22 +0530] "GET /frontendp/resources/images/loginbackground.jpg HTTP/1.1" 200 153377
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:15:23 +0530] "GET /frontendp/aboutus HTTP/1.1" 200 3612
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:15:23 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:15:23 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:15:23 +0530] "GET /frontendp/resources/images/background.jpg HTTP/1.1" 200 159193
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:15:23 +0530] "GET /frontendp/resources/images/background.jpg HTTP/1.1" 200 159193
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:16:32 +0530] "GET /frontendp/all/registrationform HTTP/1.1" 200 8136
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:16:32 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:16:32 +0530] "GET /frontendp/resources/css/registration.css HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:16:32 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:17:05 +0530] "GET /frontendp/login HTTP/1.1" 200 3743
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:17:05 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:17:05 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:17:05 +0530] "GET /frontendp/resources/images/loginbackground.jpg HTTP/1.1" 200 153377
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:17:05 +0530] "GET /frontendp/resources/images/loginbackground.jpg HTTP/1.1" 200 153377
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:39 +0530] "POST /frontendp/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:40 +0530] "GET /frontendp/home HTTP/1.1" 200 6552
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:40 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:40 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:40 +0530] "GET /frontendp/resources/images/carousel9.jpg HTTP/1.1" 200 1715058
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:40 +0530] "GET /frontendp/resources/images/carousel8.jpg HTTP/1.1" 200 2640922
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:40 +0530] "GET /frontendp/resources/images/carousel10.jpg HTTP/1.1" 200 3499174
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:40 +0530] "GET /frontendp/resources/images/carousel7.jpg HTTP/1.1" 200 6183101
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:54 +0530] "GET /frontendp/admin/getcategoryform HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:54 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:54 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:59 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 4201
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:59 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:59 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:02 +0530] "GET /frontendp/admin/deletecategory/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:02 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:02 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:02 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:03 +0530] "GET /frontendp/admin/deletecategory/2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:03 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:03 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:03 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:04 +0530] "GET /frontendp/admin/deletecategory/3 HTTP/1.1" 302 -
